ch_Species Acp_g Bcp_g Ccp_g Dcp_g Ecp_g AcpH_g BcpH_g CcpH_g DcpH_g EcpH_g Tmin Tmed Tmax Amu_g Bmu_g Cmu_g Ak_g Bk_g Ck_g Ad Bd Cd
nitrogen 3.5310100000 -1.23661e-04 -5.02999e-07 2.435310e-09 -1.40881e-12 2.95258 1.396900e-03 -4.92632e-07 7.860100e-11 -4.60755e-15 200 1000 6000 0 0 0 0 0 0 0 0 0
oxygen 3.7824600000 -3.02002e-03 9.920290e-06 -9.77840e-09 3.288780e-12 3.65980 6.598770e-04 -1.44158e-07 2.146560e-11 -1.36504e-15 200 1000 6000 0 0 0 0 0 0 0 0 0
carbon-monoxide 3.56838009E+00 -8.52126712E-04 2.48918087E-06 -1.56331317E-09 3.13596120E-13 2.91306117E+00 1.64658631E-03 -6.88619090E-07 1.21038269E-10 -7.84025003E-15 100 1571.63 5000 0 0 0 0 0 0 0 0 0
carbon-dioxide 3.28046657E+00 2.51005810E-03 8.08185017E-06 -1.21536093E-08 4.74636242E-12 4.68910221E+00 2.51978914E-03 -9.08218099E-07 1.77946024E-10 -1.36413192E-14 100 971.23 5000 0 0 0 0 0 0 0 0 0
water 4.1986400000 -2.03640e-03 6.520340e-06 -5.48793e-09 1.771970e-12 2.67704 2.973180e-03 -7.73769e-07 9.443350e-11 -4.26900e-15 200 1000 6000 0 0 0 0 0 0 0 0 0
ethanol 3.24024318E+00 1.04861549E-02 2.63960621E-05 -3.69284182E-08 1.36706520E-11 5.68500414E+00 1.61312222E-02 -5.96359564E-06 1.08895746E-09 -7.69608759E-14 100 984.01 5000 0 0 0 0 0 0 0 0 0
H2                           2.3443300000  7.980520e-03  -1.94782e-05     2.015720e-08   -7.37612e-12   3.33728     -4.94025e-05    4.994570e-07       -1.79566e-10    2.002550e-14   200   1000  3500    0          0         0               0               0             0              0          0           0
hydrogen-peroxide                  4.2385400000  -2.49611e-04  1.598580e-05     -2.06920e-08   8.297660e-12   4.54017     4.159710e-03    -1.30877e-06       2.008240e-10    -1.15509e-14   200   1000  6000    0          0         0               0               0             0              0          0           0
H			           2.50000000E+00 9.05028667E-14 -1.20494648E-16 5.23431737E-20 -6.99813850E-24 2.49999605E+00 3.58763060E-09 -1.22015473E-12 1.84118067E-16 -1.04000002E-20 100 4230.24 5000		0          0         0               0               0             0              0          0           0
HCO			           4.06159713E+00 -1.81954712E-03 9.37909484E-06 -8.24759353E-09 2.33857885E-12 3.05332705E+00 4.10468002E-03 -1.74964021E-06 3.28536802E-10 -2.28989139E-14 100 1105.11 5000		0          0         0               0               0             0              0          0           0
HO2			           4.03689863E+00 -2.62723015E-03 1.44309940E-05 -1.57595930E-08 5.57080398E-12 4.00577072E+00 2.20374410E-03 -6.71811706E-07 1.22578518E-10 -9.25457713E-15 100 946.55 5000		0          0         0               0               0             0              0          0           0
O			           2.50000000E+00 9.05028667E-14 -1.20494648E-16 5.23431737E-20 -6.99813850E-24 2.49999605E+00 3.58763060E-09 -1.22015473E-12 1.84118067E-16 -1.04000002E-20 100 4230.24 5000		0          0         0               0               0             0              0          0           0
OH			           3.51456805E+00 2.92773138E-05 -5.32163202E-07 1.01949009E-09 -3.85945103E-13 3.07193977E+00 6.04015751E-04 -1.39783227E-08 -2.13446028E-11 2.48065600E-15 100 1145.75 5000		0          0         0               0               0             0              0          0           0
heptane -0.0029244 0.076937 -3.4803e-05 1.8612e-09 2.0156e-12 13.8379 0.048594 -1.9547e-05 3.5284e-09 -2.3906e-13 100 1262.74 5000 0 0 0 0 0 0 0 0 0
octane -0.88525 0.094053 -5.494e-05 1.5832e-08 -1.8419e-12 23.07 0.044924 -1.7157e-05 2.9173e-09 -1.8648e-13 100 1950.39 5000 0 0 0 0 0 0 0 0 0
nonane -1.3704 0.10723 -6.4278e-05 1.9204e-08 -2.3402e-12 22.7911 0.054788 -2.1594e-05 3.7627e-09 -2.4553e-13 100 1842.9 5000 0 0 0 0 0 0 0 0 0
decane -1.8759 0.12058 -7.3994e-05 2.2863e-08 -2.908e-12 22.7565 0.064399 -2.594e-05 4.5954e-09 -3.0399e-13 100 1753.78 5000 0 0 0 0 0 0 0 0 0
undecane -2.3989 0.13408 -8.4052e-05 2.6792e-08 -3.5443e-12 22.9021 0.073813 -3.0213e-05 5.4165e-09 -3.6184e-13 100 1679.17 5000 0 0 0 0 0 0 0 0 0
dodecane -2.9364 0.14771 -9.4413e-05 3.097e-08 -4.246e-12 23.1871 0.083068 -3.4421e-05 6.2271e-09 -4.1907e-13 100 1616.4 5000 0 0 0 0 0 0 0 0 0
tridecane -3.486 0.16146 -0.00010504 3.5374e-08 -5.0092e-12 23.5814 0.092192 -3.8575e-05 7.028e-09 -4.7569e-13 100 1563.17 5000 0 0 0 0 0 0 0 0 0
tetradecane -4.0456 0.17529 -0.0001159 3.998e-08 -5.829e-12 24.0635 0.10121 -4.2682e-05 7.8201e-09 -5.3172e-13 100 1517.75 5000 0 0 0 0 0 0 0 0 0
pentadecane -4.6135 0.1892 -0.00012695 4.4764e-08 -6.7005e-12 24.6166 0.11013 -4.6748e-05 8.6044e-09 -5.8722e-13 100 1478.73 5000 0 0 0 0 0 0 0 0 0
hexadecane -5.1882 0.20318 -0.00013818 4.9705e-08 -7.6186e-12 25.2279 0.11898 -5.0778e-05 9.3817e-09 -6.4222e-13 100 1445 5000 0 0 0 0 0 0 0 0 0
heptadecane -5.7686 0.21721 -0.00014955 5.4785e-08 -8.5787e-12 25.8867 0.12777 -5.4779e-05 1.0153e-08 -6.9679e-13 100 1415.63 5000 0 0 0 0 0 0 0 0 0
octadecane -6.3537 0.23129 -0.00016105 5.9985e-08 -9.5761e-12 26.5857 0.1365 -5.8752e-05 1.0919e-08 -7.5095e-13 100 1389.95 5000 0 0 0 0 0 0 0 0 0
nonadecane -6.9427 0.24541 -0.00017266 6.5292e-08 -1.0607e-11 27.3174 0.14518 -6.2703e-05 1.168e-08 -8.0478e-13 100 1367.29 5000 0 0 0 0 0 0 0 0 0
eicosane -7.535 0.25956 -0.00018436 7.0691e-08 -1.1668e-11 28.0774 0.15383 -6.6635e-05 1.2437e-08 -8.5829e-13 100 1347.25 5000 0 0 0 0 0 0 0 0 0
3,3-dimethylpentane -0.0029244 0.076937 -3.4803e-05 1.8612e-09 2.0156e-12 13.8379 0.048594 -1.9547e-05 3.5284e-09 -2.3906e-13 100 1262.74 5000 0 0 0 0 0 0 0 0 0
2,2-dimethylpentane -0.88525 0.094053 -5.494e-05 1.5832e-08 -1.8419e-12 23.07 0.044924 -1.7157e-05 2.9173e-09 -1.8648e-13 100 1950.39 5000 0 0 0 0 0 0 0 0 0
2,4-dimethylpentane -1.3704 0.10723 -6.4278e-05 1.9204e-08 -2.3402e-12 22.7911 0.054788 -2.1594e-05 3.7627e-09 -2.4553e-13 100 1842.9 5000 0 0 0 0 0 0 0 0 0
2,3-dimethylpentane -1.8759 0.12058 -7.3994e-05 2.2863e-08 -2.908e-12 22.7565 0.064399 -2.594e-05 4.5954e-09 -3.0399e-13 100 1753.78 5000 0 0 0 0 0 0 0 0 0
3-ethylpentane -2.3989 0.13408 -8.4052e-05 2.6792e-08 -3.5443e-12 22.9021 0.073813 -3.0213e-05 5.4165e-09 -3.6184e-13 100 1679.17 5000 0 0 0 0 0 0 0 0 0
3-methylhexane -2.9364 0.14771 -9.4413e-05 3.097e-08 -4.246e-12 23.1871 0.083068 -3.4421e-05 6.2271e-09 -4.1907e-13 100 1616.4 5000 0 0 0 0 0 0 0 0 0
2-methylhexane -3.486 0.16146 -0.00010504 3.5374e-08 -5.0092e-12 23.5814 0.092192 -3.8575e-05 7.028e-09 -4.7569e-13 100 1563.17 5000 0 0 0 0 0 0 0 0 0
2,2,3-trimethylbutane -4.0456 0.17529 -0.0001159 3.998e-08 -5.829e-12 24.0635 0.10121 -4.2682e-05 7.8201e-09 -5.3172e-13 100 1517.75 5000 0 0 0 0 0 0 0 0 0
3,4-dimethylhexane -4.6135 0.1892 -0.00012695 4.4764e-08 -6.7005e-12 24.6166 0.11013 -4.6748e-05 8.6044e-09 -5.8722e-13 100 1478.73 5000 0 0 0 0 0 0 0 0 0
3,3-dimethylhexane -5.1882 0.20318 -0.00013818 4.9705e-08 -7.6186e-12 25.2279 0.11898 -5.0778e-05 9.3817e-09 -6.4222e-13 100 1445 5000 0 0 0 0 0 0 0 0 0
2,5-dimethylhexane -5.7686 0.21721 -0.00014955 5.4785e-08 -8.5787e-12 25.8867 0.12777 -5.4779e-05 1.0153e-08 -6.9679e-13 100 1415.63 5000 0 0 0 0 0 0 0 0 0
2,2-dimethylhexane -6.3537 0.23129 -0.00016105 5.9985e-08 -9.5761e-12 26.5857 0.1365 -5.8752e-05 1.0919e-08 -7.5095e-13 100 1389.95 5000 0 0 0 0 0 0 0 0 0
2,3-dimethylhexane -6.9427 0.24541 -0.00017266 6.5292e-08 -1.0607e-11 27.3174 0.14518 -6.2703e-05 1.168e-08 -8.0478e-13 100 1367.29 5000 0 0 0 0 0 0 0 0 0
2,4-dimethylhexane -7.535 0.25956 -0.00018436 7.0691e-08 -1.1668e-11 28.0774 0.15383 -6.6635e-05 1.2437e-08 -8.5829e-13 100 1347.25 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2-methylpentane 0.03059 0.072152 -9.3105e-06 -3.0846e-08 1.4513e-11 15.1224 0.047151 -1.9019e-05 3.5403e-09 -2.4861e-13 100 1061.43 5000 0 0 0 0 0 0 0 0 0
3-ethylhexane 0.03059 0.072152 -9.3105e-06 -3.0846e-08 1.4513e-11 15.1224 0.047151 -1.9019e-05 3.5403e-09 -2.4861e-13 100 1061.43 5000 0 0 0 0 0 0 0 0 0
3-methyl-3-ethylpentane 0.19117 0.070135 -9.5971e-06 -2.7822e-08 1.3141e-11 13.4326 0.048457 -1.9087e-05 3.4935e-09 -2.4256e-13 100 1058.23 5000 0 0 0 0 0 0 0 0 0
2-methylheptane 0.19117 0.070135 -9.5971e-06 -2.7822e-08 1.3141e-11 13.4326 0.048457 -1.9087e-05 3.4935e-09 -2.4256e-13 100 1058.23 5000 0 0 0 0 0 0 0 0 0
4-methylheptane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
3-methylheptane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
2,2,3,3-tetramethylbutane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
2,2,3-trimethylpentane 0.097802 0.06902 2.7413e-06 -4.5517e-08 2.0229e-11 15.6962 0.045873 -1.8135e-05 3.3757e-09 -2.386e-13 100 1029.27 5000 0 0 0 0 0 0 0 0 0
2,3,3-trimethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,3,4-trimethylpentane -0.73285 0.088268 -2.7578e-05 -1.7417e-08 1.0256e-11 16.9621 0.05404 -2.197e-05 4.0715e-09 -2.8372e-13 100 1100.04 5000 0 0 0 0 0 0 0 0 0
2,2,4-trimethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
3,3-diethylpentane -0.73285 0.088268 -2.7578e-05 -1.7417e-08 1.0256e-11 16.9621 0.05404 -2.197e-05 4.0715e-09 -2.8372e-13 100 1100.04 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,5-dimethylheptane -0.6896 0.089871 -4.1136e-05 1.166e-09 3.0813e-12 15.6711 0.055097 -2.2092e-05 4.0013e-09 -2.7261e-13 100 1206.85 5000 0 0 0 0 0 0 0 0 0
