ch_Species Arho Brho n Acp Bcp Ccp Dcp
nitrogen 0.3120 0.2848 0.2925 76.4520 -0.3523 -2.6690e-03 5.0057e-05
oxygen 0.4353 0.2877 0.2924 46.4320 0.39506 -7.0522e-03 3.9897e-05
H2                           0.0312  0.3473  0.2756  50.6070  -6.1136 3.09300E-01  -4.148E-03
water                              0.2970  0.2474  0.1959  -49.990  0.9920  -0.00260000  2.3510e-06
ethanol 0.3590 0.3436 0.3501 94.5621 -0.0056 -3.2901e-04 2.3981e-06
hydrogen-peroxide                  0.4410  0.2492  0.2932  -15.250  0.6769  -1.4950E-03  1.2020E-06
heptane 0.2324 0.2602 0.2791 101.121 0.9774 -0.0030712 4.1844e-06 
octane 0.2281 0.2548 0.2694 82.736 1.3043 -0.0038254 4.6459e-06 
nonane 0.3702 0.3939 0.5026 98.04 1.3538 -0.0038058 4.4991e-06 
decane 0.2328 0.2524 0.2857 79.741 1.6926 -0.0045287 4.9769e-06 
undecane 0.2314 0.25 0.2857 94.169 1.7806 -0.0046303 4.9675e-06 
dodecane 0.234 0.2518 0.2896 84.485 2.0358 -0.0050981 5.2186e-06 
tridecane 0.2377 0.2504 0.312 85.027 2.2008 -0.0053677 5.4016e-06 
tetradecane 0.2356 0.2559 0.2735 111.814 2.2092 -0.0052555 5.0865e-06 
pentadecane 0.3052 0.3184 0.3979 94.014 2.4973 -0.0058025 5.5554e-06 
hexadecane 0.2435 0.2544 0.3238 89.101 2.7062 -0.0061478 5.752e-06 
heptadecane 0.2395 0.2532 0.3052 113.571 2.8548 -0.006396 5.8757e-06 
octadecane 0.2384 0.2576 0.274 151.154 2.7878 -0.0061542 5.5249e-06 
nonadecane 0.2378 0.2501 0.3065 118.433 3.2613 -0.0070875 6.303e-06 
eicosane 0.2376 0.2493 0.3088 52.896 3.4187 -0.0073226 6.4222e-06 
3,3-dimethylpentane 0.2479 0.2701 0.3084 118.692 0.6025 -0.001934 3.0327e-06 
2,2-dimethylpentane 0.2451 0.2767 0.283 115.052 0.6577 -0.0021698 3.3303e-06 
2,4-dimethylpentane 0.2396 0.2753 0.2695 118.526 0.7006 -0.0023161 3.4981e-06 
2,3-dimethylpentane 0.2532 0.2861 0.2713 85.488 0.9323 -0.0028826 3.7624e-06 
3-ethylpentane 0.2426 0.2644 0.2914 116.451 0.7099 -0.0022627 3.3492e-06 
3-methylhexane 0.2451 0.2806 0.2625 142.593 0.5408 -0.0016598 2.5999e-06 
2-methylhexane 0.2379 0.2697 0.279 118.184 0.7128 -0.0023129 3.4493e-06 
2,2,3-trimethylbutane 0.2494 0.2792 0.28 0.826 1.7037 -0.005065 5.8856e-06 
3,4-dimethylhexane 0.2418 0.2658 0.2676 161.2 0.5348 -0.0015646 2.4208e-06 
3,3-dimethylhexane 0.2551 0.2901 0.2568 162.481 0.6049 -0.0018604 2.7473e-06 
2,5-dimethylhexane 0.2358 0.2633 0.2782 117.48 1.0073 -0.0031157 4.2149e-06 
2,2-dimethylhexane 0.2367 0.2639 0.2777 154.829 0.645 -0.0019537 3.0096e-06 
2,3-dimethylhexane 0.2419 0.2682 0.2695 160.645 0.5653 -0.0016703 2.5708e-06 
2,4-dimethylhexane 0.2472 0.2728 0.2985 156.684 0.6364 -0.0018979 2.9478e-06 
3-ethyl-2-methylpentane 0.2348 0.254 0.2857 223.04 -0.1808 0.00084029 0 
3-ethylhexane 0.248 0.2773 0.2657 160.133 0.6469 -0.0018763 2.7299e-06 
3-methyl-3-ethylpentane 0.251 0.2725 0.2817 157.094 0.586 -0.0016436 2.437e-06 
2-methylheptane 0.2318 0.259 0.2713 134.965 0.8146 -0.0025182 3.5416e-06 
4-methylheptane 0.2394 0.2588 0.2832 143.202 0.7557 -0.0023377 3.4039e-06 
3-methylheptane 0.2446 0.2744 0.2713 148.156 0.6756 -0.0020742 3.0104e-06 
2,2,3,3-tetramethylbutane 0.2474 0.28 0.2857 236.692 -0.1856 0.00082075 0 
2,2,3-trimethylpentane 0.2606 0.2907 0.2734 162.009 0.5141 -0.0014767 2.2768e-06 
2,3,3-trimethylpentane 0.2509 0.2745 0.2741 137.011 0.7766 -0.0023224 3.1604e-06 
2,3,4-trimethylpentane 0.2431 0.2679 0.2647 133.693 0.7096 -0.0021657 3.0284e-06 
2,2,4-trimethylpentane 0.2456 0.2737 0.2846 122.772 0.7949 -0.0024977 3.5652e-06 
3,3-diethylpentane 0.2712 0.2898 0.2934 100.112 1.3624 -0.0036579 4.0967e-06 
2,2-dimethyl-3-ethylpentane 0.2498 0.269 0.2857 172.716 0.6219 -0.0017285 2.5414e-06 
2,4-dimethyl-3-ethylpentane 0.2484 0.2659 0.2857 181.127 0.5932 -0.0016694 2.5271e-06 
2,3-dimethyl-3-ethylpentane 0.2426 0.254 0.2857 262.7 -0.207 0.00087062 0 
2,5-dimethylheptane 0.2335 0.254 0.2857 247.061 -0.1943 0.00088543 0 
2,6-dimethylheptane 0.2467 0.2728 0.2923 172.485 0.7211 -0.0020692 3.0055e-06 
3,4-dimethylheptane 0.2354 0.252 0.2857 256.472 -0.2126 0.00090306 0 
3,5-dimethylheptane 0.2344 0.253 0.2857 250.917 -0.215 0.0009106 0 
2,3-dimethylheptane 0.2339 0.252 0.2857 252.537 -0.1935 0.00088253 0 
2,4-dimethylheptane 0.2322 0.252 0.2857 243.392 -0.1972 0.00089422 0 
4,4-dimethylheptane 0.2328 0.25 0.2857 250.045 -0.2152 0.00090978 0 
2,2-dimethylheptane 0.2471 0.2723 0.2938 177.316 0.7046 -0.002035 3.0139e-06 
3-ethyl-2-methylhexane 0.2342 0.249 0.2857 249.595 -0.1955 0.0008876 0 
4-ethyl-2-methylhexane 0.2336 0.251 0.2857 244.519 -0.1962 0.00089043 0 
3-ethyl-3-methylhexane 0.2362 0.25 0.2857 252.843 -0.1886 0.00086329 0 
3-ethyl-4-methylhexane 0.2357 0.249 0.2857 252.536 -0.193 0.00087872 0 
4-ethylheptane 0.2375 0.255 0.2857 254.613 -0.1955 0.00089291 0 
3-ethylheptane 0.2429 0.2654 0.279 185.753 0.6745 -0.0019256 2.8226e-06 
2-methyloctane 0.2341 0.2571 0.2857 164.564 0.8398 -0.0023869 3.3063e-06 
3-methyloctane 0.2425 0.2671 0.2801 181.517 0.69 -0.0019635 2.8403e-06 
4-methyloctane 0.2452 0.2657 0.2998 177.646 0.7134 -0.0020348 2.9839e-06 
