ch_Species Ap Bp Cp Dp Ep Ah nh
nitrogen 23.8572 -476.680 -8.6689 2.01280e-02 -2.4139e-11 9.4300 0.533
oxygen 20.6695 -526.970 -6.7062 1.29260e-02 -9.8832e-13 8.0400 0.201
H2                           3.41320  -41.3160  1.09470  -6.6896E-10  1.45890E-04  0.659	 0.380
water                              29.3100  -3135.88  -7.0820  -0.00018600  1.86900E-06  55.879  0.366
ethanol 23.8442 -2.8642e+03 -5.0474 1.6827e-13 2.7361e-07 62.2161 0.4087
hydrogen-peroxide                  33.4400  -3739.37  -8.3930  3.24700e-05  1.68300e-06  61.900  0.325
heptane 65.026 -3818.8 -21.684 0.010387 1.0206e-14 49.73 0.386 
octane 29.095 -3011.4 -7.2653 -2.2696e-11 1.468e-06 59.077 0.439 
nonane 8.8817 -2804.2 1.5262 -0.010464 5.7972e-06 59.378 0.377 
decane 26.512 -3358.4 -6.1174 -3.3225e-10 4.8554e-07 71.428 0.451 
undecane 59.1084 -5031.4 -17.3722 7.068e-09 4.1055e-06 73.511 0.413 
dodecane -5.6532 -3469.8 9.0272 -0.023185 1.1235e-05 77.166 0.407 
tridecane 49.239 -4964.9 -13.769 -2.1146e-09 2.5902e-06 81.877 0.416 
tetradecane 106.11 -7346.1 -35.195 0.012356 -8.395e-13 86.885 0.418 
pentadecane 116.52 -8041 -38.799 0.013398 -4.4444e-13 91.667 0.419 
hexadecane 99.109 -7533.3 -32.251 0.010453 1.2328e-12 96.68 0.422 
heptadecane 173.4 -10943 -59.212 0.020705 -1.3433e-12 102 0.433 
octadecane -15.077 -4870.2 14.501 -0.031625 1.3478e-05 106.95 0.451 
nonadecane 76.765 -7720.5 -22.376 6.5102e-11 3.1141e-06 114.74 0.448 
eicosane 19.419 -5869.9 -0.4428 -0.012606 5.2241e-06 115 0.409 
3,3-dimethylpentane 30.257 -2631.3 -7.9839 4.6848e-13 2.717e-06 45.35 0.381 
2,2-dimethylpentane 6.2875 -2168.2 2.6936 -0.015525 1.0917e-05 44.802 0.377 
2,4-dimethylpentane 35.944 -2846 -9.9938 8.0693e-11 3.6419e-06 46.86 0.397 
2,3-dimethylpentane 39.774 -2905 -12.012 0.0051334 -2.3807e-14 46.866 0.382 
3-ethylpentane 8.5463 -2297.9 1.5503 -0.012233 8.267e-06 47.325 0.373 
3-methylhexane 35.254 -2931 -9.6667 -5.2026e-11 3.2107e-06 48.924 0.393 
2-methylhexane 54.108 -3378.5 -17.547 0.0082594 -3.4967e-14 49.917 0.408 
2,2,3-trimethylbutane 32.363 -2661.4 -8.7743 -7.687e-10 3.2006e-06 43.6 0.372 
3,4-dimethylhexane 38.612 -3268.5 -10.752 3.6386e-09 3.2771e-06 51.624 0.377 
3,3-dimethylhexane 38.071 -3173.6 -10.617 6.309e-11 3.3817e-06 51.708 0.398 
2,5-dimethylhexane 40.026 -3264.7 -11.282 -6.5408e-10 3.62e-06 52.445 0.397 
2,2-dimethylhexane 38.767 -3184.1 -10.857 1.9275e-12 3.4797e-06 52.211 0.407 
2,3-dimethylhexane 57.378 -3714.3 -18.599 0.0082907 -2.8441e-12 51.6 0.377 
2,4-dimethylhexane 56.288 -3622.5 -18.225 0.0081864 8.7232e-12 50.874 0.382 
3-ethyl-2-methylpentane 70.521 -4006.2 -24.167 0.014484 -2.5304e-06 51.179 0.38 
3-ethylhexane 40.208 -3365.1 -11.285 -5.418e-09 3.4199e-06 52.754 0.38 
3-methyl-3-ethylpentane 35.252 -3087.1 -9.6172 -2.3414e-11 2.9375e-06 50.35 0.377 
2-methylheptane 37.693 -3261.1 -10.391 -1.0524e-12 3.056e-06 59.503 0.481 
4-methylheptane 40.208 -3366.1 -11.279 -8.7855e-11 3.4055e-06 54.857 0.405 
3-methylheptane 52.883 -3623.1 -16.804 0.0071828 7.4077e-14 55.167 0.406 
2,2,3,3-tetramethylbutane 58.2272 -4326.9 -17.2776 4.9512e-09 4.0787e-06 47.805 0.38 
2,2,3-trimethylpentane 35.954 -3056.9 -9.8896 -7.2916e-11 3.106e-06 50.473 0.396 
2,3,3-trimethylpentane 33.967 -2998.2 -9.1858 -2.1839e-10 2.81e-06 49.91 0.383 
2,3,4-trimethylpentane 34.156 -3023.2 -9.2267 2.7691e-11 2.7828e-06 50.752 0.385 
2,2,4-trimethylpentane 50.342 -3278.9 -16.111 0.007426 -9.1804e-14 42.901 0.281 
3,3-diethylpentane -12.547 -2182.8 10.63 -0.022169 1.1665e-05 53.622 0.36 
2,2-dimethyl-3-ethylpentane 10.104 -2614.2 0.9071 -0.010373 6.3652e-06 53.749 0.382 
2,4-dimethyl-3-ethylpentane 12.553 -2730.6 0.036 -0.01032 6.6977e-06 54.246 0.377 
2,3-dimethyl-3-ethylpentane 113.95 -5321.8 -41.997 0.031893 -9.1036e-06 55.016 0.38 
2,5-dimethylheptane 19.076 -2668.5 -3.7033 0 0 56.558 0.38 
2,6-dimethylheptane 49.678 -3712.8 -15.362 0.0058912 1.0266e-13 58.107 0.406 
